45 	 CH 	note:  1/8 	onset :  133.120
45 	 B+CH 	note:  1/8 	onset :  133.503
45 	 B+CH 	note:  1/8 	onset :  133.875
45 	 S+CH 	note:  1/8 	onset :  134.246
45 	 CH 	note:  1/8 	onset :  134.618
46 	 B+CH 	note:  1/8 	onset :  135.001
46 	 CH 	note:  1/8 	onset :  135.372
46 	 S+CH 	note:  1/8 	onset :  135.732
46 	 CH 	note:  1/8 	onset :  136.127
46 	 B+CH 	note:  1/8 	onset :  136.499
46 	 MT 	note:  1/8 	onset :  136.870
46 	 S 	note:  1/16 	onset :  137.253
46 	 MT 	note:  1/16 	onset :  137.427
46 	 B+FT 	note:  1/8 	onset :  137.625
47 	 B+C 	note:  1/4 	onset :  137.996
47 	 S+CH 	note:  1/8 	onset :  138.751
47 	 CH 	note:  1/8 	onset :  139.122
47 	 B+CH 	note:  1/8 	onset :  139.505
47 	 B+CH 	note:  1/8 	onset :  139.865
47 	 S+CH 	note:  1/8 	onset :  140.249
47 	 rest 	note:  1/8 	onset :  140.632
48 	 B+CH 	note:  1/8 	onset :  141.003
48 	 CH 	note:  1/8 	onset :  141.375
48 	 S+CH 	note:  1/8 	onset :  141.735
48 	 CH 	note:  1/8 	onset :  142.129
48 	 B+CH 	note:  1/8 	onset :  142.501
48 	 B+CH 	note:  1/8 	onset :  142.872
48 	 S+CH 	note:  1/8 	onset :  143.256
48 	 CH 	note:  1/8 	onset :  143.627
49 	 B+CH 	note:  1/8 	onset :  143.975
49 	 CH 	note:  1/8 	onset :  144.370
49 	 S+CH 	note:  1/8 	onset :  144.753
49 	 CH 	note:  1/8 	onset :  145.125
49 	 B+CH 	note:  1/8 	onset :  145.473
49 	 B+CH 	note:  1/8 	onset :  145.879
49 	 S+CH 	note:  1/8 	onset :  146.251
49 	 CH 	note:  1/8 	onset :  146.622
50 	 B+CH 	note:  1/8 	onset :  147.006
50 	 CH 	note:  1/8 	onset :  147.377
50 	 S+CH 	note:  1/8 	onset :  147.725
50 	 CH 	note:  1/8 	onset :  148.120
50 	 B+CH 	note:  1/8 	onset :  148.503
50 	 B+CH 	note:  1/8 	onset :  148.875
50 	 S+CH 	note:  1/8 	onset :  149.246
50 	 CH 	note:  1/8 	onset :  149.629
51 	 B+CH 	note:  1/8 	onset :  149.978
51 	 CH 	note:  1/8 	onset :  150.372
51 	 S+CH 	note:  1/8 	onset :  150.756
51 	 CH 	note:  1/8 	onset :  151.127
51 	 B+CH 	note:  1/8 	onset :  151.475
51 	 B+CH 	note:  1/8 	onset :  151.870
51 	 S+CH 	note:  1/8 	onset :  152.253
51 	 CH 	note:  1/8 	onset :  152.625
52 	 B+CH 	note:  1/8 	onset :  152.985
52 	 CH 	note:  1/8 	onset :  153.379
52 	 S+CH 	note:  1/8 	onset :  153.751
52 	 CH 	note:  1/8 	onset :  154.122
52 	 B+CH 	note:  1/8 	onset :  154.506
52 	 B+CH 	note:  1/8 	onset :  154.877
52 	 S+CH 	note:  1/8 	onset :  155.249
52 	 CH 	note:  1/8 	onset :  155.620
53 	 B+CH 	note:  1/8 	onset :  156.003
53 	 CH 	note:  1/8 	onset :  156.375
53 	 S+CH 	note:  1/8 	onset :  156.735
53 	 CH 	note:  1/8 	onset :  157.129
53 	 B+CH 	note:  1/8 	onset :  157.501
53 	 B+CH 	note:  1/8 	onset :  157.872
53 	 S+CH 	note:  1/8 	onset :  158.256
53 	 CH 	note:  1/8 	onset :  158.627
54 	 S 	note:  1/16 	onset :  158.975
54 	 S 	note:  1/8 	onset :  159.173
54 	 MT 	note:  1/8 	onset :  159.556
54 	 B+FT 	note:  1/16 	onset :  159.927
54 	 B+FT 	note:  1/8 	onset :  160.113
54 	 B+C 	note:  1/24 	onset :  160.496
