41 	 CH 	note:  1/8 	onset :  130.949
41 	 B+CH 	note:  1/8 	onset :  131.332
41 	 MT 	note:  1/8 	onset :  131.727
41 	 MT 	note:  1/16 	onset :  131.959
41 	 B+FT 	note:  1/16 	onset :  132.156
41 	 B+FT 	note:  1/16 	onset :  132.354
41 	 B+C 	note:  1/16 	onset :  132.551
41 	 B+C 	note:  1/8 	onset :  132.981
42 	 B+CH 	note:  1/8 	onset :  133.364
42 	 S+CH 	note:  1/8 	onset :  133.759
42 	 CH 	note:  1/8 	onset :  134.188
42 	 B+CH 	note:  1/8 	onset :  134.594
42 	 S 	note:  1/16 	onset :  134.803
42 	 B+CH 	note:  1/16 	onset :  134.978
42 	 B 	note:  1/16 	onset :  135.210
42 	 S+B+CH 	note:  1/16 	onset :  135.384
42 	 CH 	note:  1/8 	onset :  135.779
42 	 B+CH 	note:  1/8 	onset :  136.208
43 	 B+CH 	note:  1/8 	onset :  136.591
43 	 S+CH 	note:  1/8 	onset :  136.998
43 	 CH 	note:  1/8 	onset :  137.404
43 	 B+CH 	note:  1/8 	onset :  137.834
43 	 S 	note:  1/16 	onset :  138.043
43 	 B+CH 	note:  1/16 	onset :  138.217
43 	 B 	note:  1/16 	onset :  138.426
43 	 S+B+CH 	note:  1/16 	onset :  138.635
43 	 CH 	note:  1/8 	onset :  139.029
43 	 B+CH 	note:  1/8 	onset :  139.459
44 	 B+CH 	note:  1/8 	onset :  139.865
44 	 S+CH 	note:  1/8 	onset :  140.272
44 	 CH 	note:  1/8 	onset :  140.678
44 	 B+CH 	note:  1/8 	onset :  141.084
44 	 S 	note:  1/16 	onset :  141.282
44 	 B+CH 	note:  1/24 	onset :  141.433
44 	 B 	note:  1/16 	onset :  141.665
44 	 S+B+CH 	note:  1/16 	onset :  141.874
44 	 CH 	note:  1/8 	onset :  142.269
44 	 B+CH 	note:  1/8 	onset :  142.687
44 	 B+CH 	note:  1/8 	onset :  143.081
45 	 S+CH 	note:  1/8 	onset :  143.511
45 	 CH 	note:  1/8 	onset :  143.894
45 	 B+CH 	note:  1/8 	onset :  144.324
45 	 S 	note:  1/16 	onset :  144.533
45 	 B+CH 	note:  1/16 	onset :  144.730
45 	 B 	note:  1/16 	onset :  144.939
45 	 S+B+CH 	note:  1/16 	onset :  145.113
45 	 B+FT 	note:  1/8 	onset :  145.508
45 	 B+FT 	note:  1/16 	onset :  145.728
45 	 B+C 	note:  1/16 	onset :  145.926
45 	 B+CH 	note:  1/8 	onset :  146.355
46 	 S+CH 	note:  1/8 	onset :  146.762
46 	 CH 	note:  1/8 	onset :  147.145
46 	 B+CH 	note:  1/8 	onset :  147.540
46 	 S 	note:  1/16 	onset :  147.772
46 	 B+CH 	note:  1/16 	onset :  147.969
46 	 B 	note:  1/16 	onset :  148.167
46 	 S+B+CH 	note:  1/16 	onset :  148.364
46 	 CH 	note:  1/8 	onset :  148.759
46 	 B+CH 	note:  1/8 	onset :  149.177
46 	 B+CH 	note:  1/8 	onset :  149.595
47 	 S+CH 	note:  1/8 	onset :  150.001
47 	 CH 	note:  1/8 	onset :  150.407
47 	 B+CH 	note:  1/8 	onset :  150.814
47 	 S 	note:  1/16 	onset :  151.011
47 	 B+CH 	note:  1/16 	onset :  151.220
47 	 B 	note:  1/16 	onset :  151.394
47 	 S+CH 	note:  1/16 	onset :  151.603
47 	 CH 	note:  1/8 	onset :  151.998
47 	 B+CH 	note:  1/8 	onset :  152.416
47 	 B+CH 	note:  1/8 	onset :  152.811
48 	 S+CH 	note:  1/8 	onset :  153.240
48 	 CH 	note:  1/8 	onset :  153.623
48 	 B+CH 	note:  1/8 	onset :  154.053
48 	 S 	note:  1/16 	onset :  154.262
48 	 B+CH 	note:  1/16 	onset :  154.459
48 	 B 	note:  1/16 	onset :  154.633
48 	 S+B+CH 	note:  1/16 	onset :  154.842
48 	 CH 	note:  1/8 	onset :  155.237
48 	 B+CH 	note:  1/8 	onset :  155.678
48 	 B+CH 	note:  1/8 	onset :  156.085
49 	 S+CH 	note:  1/8 	onset :  156.456
49 	 CH 	note:  1/8 	onset :  156.862
49 	 B+CH 	note:  1/8 	onset :  157.280
49 	 MT 	note:  1/8 	onset :  157.675
49 	 MT 	note:  1/16 	onset :  157.907
49 	 B 	note:  1/16 	onset :  158.105
49 	 B+FT 	note:  1/16 	onset :  158.314
49 	 B+FT 	note:  1/16 	onset :  158.488
49 	 B+C 	note:  1/8 	onset :  158.906
49 	 B+CH 	note:  1/8 	onset :  159.324
50 	 S+CH 	note:  1/8 	onset :  159.730
50 	 CH 	note:  1/8 	onset :  160.136
50 	 B+CH 	note:  1/8 	onset :  160.543
50 	 S 	note:  1/16 	onset :  160.740
50 	 B+CH 	note:  1/16 	onset :  160.949
